Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 10 a suma 46
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 5 a suma 37
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 1 a suma 4
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 7 a suma 57
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 3 a suma 16
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 8 a suma 80
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 5 a suma 18

<0,2> 0.1 9 6
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 3 a suma 11
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 3 a suma 25
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 21 a suma 438
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 5 a suma 48
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 1 a suma 5
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 11 a suma 44
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 1 a suma 6
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 11 a suma 39
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 1 a suma 8
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 2 a suma 12
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 2 a suma 11
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 10 a suma 49
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 21 a suma 167
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 5 a suma 36
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 2 a suma 6
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 10 a suma 54
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 1 a suma 12
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 18 a suma 76
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 2 a suma 5
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 11 a suma 64
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 2 a suma 8
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 4 a suma 11
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 5 a suma 6
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 2 a suma 9
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 2 a suma 10
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 2 a suma 34
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 1 a suma 5

<0,2> 0.1 3 9
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 4 a suma 9
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 1 a suma 6
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 3 a suma 18
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 11 a suma 47
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 1 a suma 7
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 2 a suma 7
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 5 a suma 25
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 10 a suma 30
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 1 a suma 4
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 1 a suma 3
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 6 a suma 14
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 10 a suma 57
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 2 a suma 8
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 3 a suma 14
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 3 a suma 13
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 6 a suma 16
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 2 a suma 13
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 19 a suma 30
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 2 a suma 10
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 5 a suma 14
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 1 a suma 4
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 1 a suma 3
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 3 a suma 19
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 3 a suma 24
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 1 a suma 2
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 1 a suma 6
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 1 a suma 2

<0,2> 0.1 6 9
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 2 a suma 10
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 4 a suma 13
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 17 a suma 50
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 13 a suma 69
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 1 a suma 7
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 3 a suma 9
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 8 a suma 79
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 1 a suma 3
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 2 a suma 3
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 7 a suma 48
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 1 a suma 2
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 16 a suma 80
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 2 a suma 10
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 1 a suma 3
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 3 a suma 26
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 10 a suma 42
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 6 a suma 20
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 3 a suma 21
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 7 a suma 44
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 2 a suma 7
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 2 a suma 8
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 7 a suma 22
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 4 a suma 11
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 3 a suma 21
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 5 a suma 12
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 3 a suma 9
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 6 a suma 8

<0,2> 0.1 9 9
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 16 a suma 136
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 6 a suma 20
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 17 a suma 108
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 3 a suma 19
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 2 a suma 18
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 3 a suma 10
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 3 a suma 15
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 3 a suma 11
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 4 a suma 21
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 13 a suma 34
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 1 a suma 7
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 4 a suma 17
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 3 a suma 14
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 1 a suma 4
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 3 a suma 16
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 1 a suma 1
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 1 a suma 7
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 1 a suma 10
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 14 a suma 65
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 6 a suma 47
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 2 a suma 10
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 7 a suma 13
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 1 a suma 4
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 6 a suma 11
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 3 a suma 12
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 2 a suma 15
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 1 a suma 3

<0,2> 0.1 3 3 3
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 2 a suma 18
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 1 a suma 1
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 2 a suma 7
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 7 a suma 23
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 2 a suma 16
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 14 a suma 90
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 2 a suma 6
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 4 a suma 47
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 5 a suma 18
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 8 a suma 64
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 1 a suma 11
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 1 a suma 7
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 15 a suma 49
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 4 a suma 23
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 10 a suma 20
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 11 a suma 124
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 8 a suma 48
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 10 a suma 18
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 9 a suma 35
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 10 a suma 82
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 2 a suma 15
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 14 a suma 112
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 5 a suma 31
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 3 a suma 12
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 2 a suma 5
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 2 a suma 14
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 3 a suma 17

<0,2> 0.1 6 3 3 
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 3 a suma 17
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 13 a suma 70
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 5 a suma 32
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 6 a suma 46
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 1 a suma 3
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 6 a suma 36
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 4 a suma 47
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 1 a suma 10
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 8 a suma 41
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 1 a suma 3
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 1 a suma 21
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 3 a suma 44
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 6 a suma 33
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 2 a suma 8
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 1 a suma 5
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 2 a suma 5
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 6 a suma 17
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 5 a suma 10
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 1 a suma 2
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 2 a suma 5
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 5 a suma 14
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 2 a suma 5
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 5 a suma 24
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 3 a suma 29
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 5 a suma 21
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 2 a suma 6
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 5 a suma 17

<0,2> 0.1 9 3 3
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 2 a suma 8
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 6 a suma 30
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 18 a suma 71
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 2 a suma 17
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 1 a suma 3
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 1 a suma 7
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 4 a suma 15
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 10 a suma 68
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 2 a suma 20
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 3 a suma 30
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 1 a suma 2
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 6 a suma 33
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 1 a suma 1
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 1 a suma 2
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 1 a suma 3
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 16 a suma 65
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 3 a suma 37
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 2 a suma 15
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 1 a suma 1
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 8 a suma 27
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 8 a suma 26
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 3 a suma 24
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 12 a suma 70
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 1 a suma 5
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 2 a suma 10
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 14 a suma 43
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 2 a suma 16

<0,2> 0.1 3 6 3
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 12 a suma 47
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 2 a suma 27
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 1 a suma 14
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 2 a suma 12
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 7 a suma 38
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 1 a suma 5
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 1 a suma 5
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 6 a suma 38
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 10 a suma 24
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 1 a suma 6
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 12 a suma 132
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 3 a suma 20
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 7 a suma 62
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 13 a suma 106
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 5 a suma 16
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 1 a suma 8
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 2 a suma 21
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 8 a suma 23
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 2 a suma 9
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 1 a suma 10
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 13 a suma 58
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 3 a suma 30
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 1 a suma 4
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 2 a suma 8
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 5 a suma 21
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 4 a suma 24
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 1 a suma 2

<0,2> 0.1 6 6 3
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 2 a suma 13
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 3 a suma 28
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 1 a suma 2
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 6 a suma 39
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 13 a suma 22
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 1 a suma 7
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 3 a suma 12
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 3 a suma 13
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 6 a suma 37
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 7 a suma 67
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 3 a suma 9
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 9 a suma 52
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 3 a suma 17
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 1 a suma 1
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 2 a suma 17
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 5 a suma 35
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 8 a suma 18
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 5 a suma 20
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 1 a suma 2
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 1 a suma 4
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 12 a suma 67
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 4 a suma 21
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 11 a suma 43
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 5 a suma 20
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 2 a suma 16
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 1 a suma 4
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 3 a suma 24

<0,2> 0.1 9 6 3
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 6 a suma 18
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 10 a suma 43
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 9 a suma 61
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 10 a suma 64
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 1 a suma 6
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 2 a suma 10
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 3 a suma 32
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 3 a suma 8
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 4 a suma 12
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 5 a suma 18
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 2 a suma 18
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 5 a suma 36
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 1 a suma 4
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 1 a suma 10
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 1 a suma 14
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 13 a suma 91
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 13 a suma 52
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 3 a suma 20
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 8 a suma 53
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 3 a suma 8
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 4 a suma 17
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 6 a suma 45
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 6 a suma 77
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 5 a suma 8
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 3 a suma 24
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 5 a suma 31
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 2 a suma 14

<0,2> 0.1 3 9 3
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 19 a suma 69
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 3 a suma 16
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 12 a suma 78
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 7 a suma 28
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 8 a suma 42
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 2 a suma 9
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 1 a suma 4
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 2 a suma 6
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 1 a suma 1
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 1 a suma 16
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 2 a suma 12
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 4 a suma 10
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 5 a suma 18
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 2 a suma 4
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 4 a suma 24
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 3 a suma 5
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 4 a suma 10
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 5 a suma 21
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 22 a suma 113
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 2 a suma 20
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 6 a suma 41
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 6 a suma 21
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 5 a suma 14
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 10 a suma 31
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 4 a suma 21
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 2 a suma 10
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 1 a suma 5

<0,2> 0.1 6 9 3
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 3 a suma 22
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 1 a suma 5
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 4 a suma 26
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 2 a suma 16
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 4 a suma 31
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 2 a suma 3
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 5 a suma 29
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 3 a suma 12
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 12 a suma 36
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 4 a suma 17
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 2 a suma 7
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 2 a suma 3
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 2 a suma 6
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 1 a suma 5
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 5 a suma 19
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 13 a suma 86
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 2 a suma 17
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 6 a suma 50
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 3 a suma 40
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 2 a suma 7
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 4 a suma 16
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 8 a suma 66
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 9 a suma 125
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 9 a suma 23
